PHONE_NUM,MAIL_ADDR,TEST_CNT,CENTER_NM,AGE_GBN,TEST_GBN,TEST_AGE,INPUT_GBN,CERT_GBN,TEST_YMD,TEST_SEX,contect_num,contect_mail,age,job,marital,education,df,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous
015-0135-4689,0u0jdrapk0t46@gmail.com,1,세종,노인,출장,74,관리자,2등급,20210909,"F",015-0135-4689,0u0jdrapk0t46@gmail.com,45,admin.,single,unknown,no,13,yes,no,unknown,5,may,98,1,-1,0
015-0135-5644,0u13tfu1s33nuq3px@outlook.com,2,서구(광주),청소년,출장,17,관리자,3등급,20210909,"M",015-0135-5644,0u13tfu1s33nuq3px@outlook.com,57,blue-collar,married,primary,no,52,yes,no,unknown,5,may,38,1,-1,0
015-0135-6980,0u1u6y2srewpxj4@hotmail.org,1,서초,노인,출장,85,관리자,1등급,20210909,"F",015-0135-6980,0u1u6y2srewpxj4@hotmail.org,60,retired,married,primary,no,60,yes,no,unknown,5,may,219,1,-1,0
015-0135-7743,0u2xyuccy26bab0uz@charter.org,2,서구(광주),청소년,출장,17,관리자,2등급,20210909,"M",015-0135-7743,0u2xyuccy26bab0uz@charter.org,33,services,married,secondary,no,0,yes,no,unknown,5,may,54,1,-1,0
015-0135-8808,0u3po@charter.com,1,서구(광주),청소년,출장,16,관리자,참가증,20210909,"M",015-0135-8808,0u3po@charter.com,28,blue-collar,married,secondary,no,723,yes,yes,unknown,5,may,262,1,-1,0
015-0135-9928,0u4@outlook.net,2,서구(광주),청소년,출장,17,관리자,3등급,20210909,"M",015-0135-9928,0u4@outlook.net,56,management,married,tertiary,no,779,yes,no,unknown,5,may,164,1,-1,0
015-0136-1323,0u5d8c@gmail.com,3,수원,성인,일반,23,관리자,3등급,20210901,"F",015-0136-1323,0u5d8c@gmail.com,32,blue-collar,single,primary,no,23,yes,yes,unknown,5,may,160,1,-1,0
015-0136-2645,0u6elgq2pf@comcast.com,1,증평,청소년,출장,16,관리자,참가증,20210901,"M",015-0136-2645,0u6elgq2pf@comcast.com,25,services,married,secondary,no,50,yes,no,unknown,5,may,342,1,-1,0
015-0136-3707,0u772tqrdqx8izsutjn@hotmail.com,1,증평,청소년,출장,15,관리자,참가증,20210901,"M",015-0136-3707,0u772tqrdqx8izsutjn@hotmail.com,40,retired,married,primary,no,0,yes,yes,unknown,5,may,181,1,-1,0
015-0136-4763,0u81i0073bifsif@yahoo.org,1,증평,청소년,출장,15,관리자,참가증,20210901,"M",015-0136-4763,0u81i0073bifsif@yahoo.org,44,admin.,married,secondary,no,-372,yes,no,unknown,5,may,172,1,-1,0
015-0136-5690,0u8y47yvkecvh47@hotmail.com,1,증평,청소년,출장,15,관리자,3등급,20210901,"M",015-0136-5690,0u8y47yvkecvh47@hotmail.com,39,management,single,tertiary,no,255,yes,no,unknown,5,may,296,1,-1,0
015-0136-6613,0u9u@frontier.gov,1,증평,청소년,출장,15,관리자,참가증,20210901,"M",015-0136-6613,0u9u@frontier.gov,52,entrepreneur,married,secondary,no,113,yes,yes,unknown,5,may,127,1,-1,0
015-0136-7758,0uafk98rut0a5cpy26x@comcast.org,1,고양,성인,일반,22,관리자,2등급,20210901,"F",015-0136-7758,0uafk98rut0a5cpy26x@comcast.org,46,management,single,secondary,no,-246,yes,no,unknown,5,may,255,2,-1,0
015-0136-9026,0ub90bzr1nilex58y8je@comcast.net,5,의정부,청소년,일반,18,관리자,3등급,20210901,"M",015-0136-9026,0ub90bzr1nilex58y8je@comcast.net,36,technician,single,secondary,no,265,yes,yes,unknown,5,may,348,1,-1,0
015-0136-9945,0ubvcptgu6bd@comcast.gov,1,증평,청소년,출장,15,관리자,3등급,20210901,"M",015-0136-9945,0ubvcptgu6bd@comcast.gov,57,technician,married,secondary,no,839,no,yes,unknown,5,may,225,1,-1,0
015-0137-1307,0ucr1f8psr0o2tlj86d7@comcast.org,1,증평,청소년,출장,14,관리자,참가증,20210901,"M",015-0137-1307,0ucr1f8psr0o2tlj86d7@comcast.org,49,management,married,tertiary,no,378,yes,no,unknown,5,may,230,1,-1,0
015-0137-2492,0udfd@frontier.net,1,증평,청소년,출장,15,관리자,참가증,20210901,"M",015-0137-2492,0udfd@frontier.net,60,admin.,married,secondary,no,39,yes,yes,unknown,5,may,208,1,-1,0
015-0137-3636,0ue7pqnvfnjy3xacq30@frontier.gov,1,증평,청소년,출장,14,관리자,참가증,20210901,"M",015-0137-3636,0ue7pqnvfnjy3xacq30@frontier.gov,59,blue-collar,married,secondary,no,0,yes,no,unknown,5,may,226,1,-1,0
015-0137-4492,0uffg9xjsqo2n@verizon.org,1,증평,청소년,출장,15,관리자,참가증,20210901,"M",015-0137-4492,0uffg9xjsqo2n@verizon.org,51,management,married,tertiary,no,10635,yes,no,unknown,5,may,336,1,-1,0
015-0137-5425,0ug@charter.org,40,달서,성인,일반,46,인바디,3등급,20210901,"F",015-0137-5425,0ug@charter.org,57,technician,divorced,secondary,no,63,yes,no,unknown,5,may,242,1,-1,0
015-0137-6540,0uh5hhsgs2da@verizon.gov,1,남구(울산),성인,일반,25,관리자,참가증,20210901,"M",015-0137-6540,0uh5hhsgs2da@verizon.gov,25,blue-collar,married,secondary,no,-7,yes,no,unknown,5,may,365,1,-1,0
015-0137-7587,0ui1duy4ayw5a3@comcast.org,1,창원마산회원,성인,일반,19,관리자,1등급,20210901,"F",015-0137-7587,0ui1duy4ayw5a3@comcast.org,53,technician,married,secondary,no,-3,no,no,unknown,5,may,1666,1,-1,0
015-0137-8334,0uizkud3k5mvc@comcast.org,3,군산,청소년,일반,18,관리자,2등급,20210901,"F",015-0137-8334,0uizkud3k5mvc@comcast.org,36,admin.,divorced,secondary,no,506,yes,no,unknown,5,may,577,1,-1,0
015-0137-9535,0ujmlr8vkp0uwi@outlook.com,1,광산,성인,일반,29,관리자,3등급,20210901,"F",015-0137-9535,0ujmlr8vkp0uwi@outlook.com,37,admin.,single,secondary,no,0,yes,no,unknown,5,may,137,1,-1,0
015-0138-0608,0uk9f@hotmail.org,2,순천,성인,일반,30,인바디,참가증,20210901,"M",015-0138-0608,0uk9f@hotmail.org,44,services,divorced,secondary,no,2586,yes,no,unknown,5,may,160,1,-1,0
015-0138-1608,0uku4s@hotmail.gov,3,순천,성인,일반,51,인바디,참가증,20210901,"F",015-0138-1608,0uku4s@hotmail.gov,50,management,married,secondary,no,49,yes,no,unknown,5,may,180,2,-1,0
015-0138-2344,0ulpxiob17s@frontier.gov,1,서구(광주),노인,출장,68,관리자,3등급,20210901,"F",015-0138-2344,0ulpxiob17s@frontier.gov,60,blue-collar,married,unknown,no,104,yes,no,unknown,5,may,22,1,-1,0
015-0138-3642,0um@hotmail.gov,2,사상,청소년,일반,18,인바디,3등급,20210901,"F",015-0138-3642,0um@hotmail.gov,54,retired,married,secondary,no,529,yes,no,unknown,5,may,1492,1,-1,0
015-0138-4393,0unfyum845io4gkol9st@yahoo.com,2,영암,청소년,일반,18,관리자,참가증,20210901,"M",015-0138-4393,0unfyum845io4gkol9st@yahoo.com,58,retired,married,unknown,no,96,yes,no,unknown,5,may,616,1,-1,0
015-0138-5821,0uoa04hyv41305cntwu@charter.com,2,군산,성인,일반,19,관리자,참가증,20210901,"M",015-0138-5821,0uoa04hyv41305cntwu@charter.com,36,admin.,single,primary,no,-171,yes,no,unknown,5,may,242,1,-1,0
015-0138-6583,0up0vrr4ii@charter.com,1,고양,성인,일반,20,관리자,참가증,20210901,"M",015-0138-6583,0up0vrr4ii@charter.com,58,self-employed,married,tertiary,no,-364,yes,no,unknown,5,may,355,1,-1,0
015-0138-7504,0uq1w2z3h@verizon.net,1,서구(광주),노인,출장,71,관리자,참가증,20210901,"F",015-0138-7504,0uq1w2z3h@verizon.net,44,technician,married,secondary,no,0,yes,no,unknown,5,may,225,2,-1,0
015-0138-8390,0uqvtw37dzifys2en0@outlook.com,1,증평,청소년,출장,15,관리자,참가증,20210901,"M",015-0138-8390,0uqvtw37dzifys2en0@outlook.com,55,technician,divorced,secondary,no,0,no,no,unknown,5,may,160,1,-1,0
015-0138-9418,0uriwg6k3jyqt0@gmail.org,3,KSPO광주,성인,출장,53,관리자,참가증,20210911,"F",015-0138-9418,0uriwg6k3jyqt0@gmail.org,29,management,single,tertiary,no,0,yes,no,unknown,5,may,363,1,-1,0
015-0139-0610,0usjjptwjq8@charter.net,1,세종,유소년,일반,12,관리자,참가증,20210911,"M",015-0139-0610,0usjjptwjq8@charter.net,54,blue-collar,married,secondary,no,1291,yes,no,unknown,5,may,266,1,-1,0
015-0139-1550,0ut8p7icwvkuvfs4ht6@hotmail.net,2,순천,청소년,일반,18,인바디,3등급,20210911,"F",015-0139-1550,0ut8p7icwvkuvfs4ht6@hotmail.net,48,management,divorced,tertiary,no,-244,yes,no,unknown,5,may,253,1,-1,0
015-0139-2507,0uua6icjiqe9oqs2itbj@yahoo.gov,1,전주,청소년,일반,14,인바디,2등급,20210911,"F",015-0139-2507,0uua6icjiqe9oqs2itbj@yahoo.gov,32,management,married,tertiary,no,0,yes,no,unknown,5,may,179,1,-1,0
015-0139-3552,0uuwizlzvlqq2vukmt2@hotmail.net,1,사하,성인,일반,48,관리자,2등급,20210911,"M",015-0139-3552,0uuwizlzvlqq2vukmt2@hotmail.net,42,admin.,single,secondary,no,-76,yes,no,unknown,5,may,787,1,-1,0
015-0139-4266,0uvmdi@verizon.gov,3,스포원(금정),성인,일반,26,관리자,참가증,20210911,"M",015-0139-4266,0uvmdi@verizon.gov,24,technician,single,secondary,no,-103,yes,yes,unknown,5,may,145,1,-1,0
015-0139-5543,0uwkk3upxqg9b0ji@yahoo.net,1,남원,성인,일반,27,관리자,2등급,20210911,"F",015-0139-5543,0uwkk3upxqg9b0ji@yahoo.net,38,entrepreneur,single,tertiary,no,243,no,yes,unknown,5,may,174,1,-1,0
015-0099-6647,0m4equkvq@gmail.com,3,연제,청소년,일반,18,관리자,2등급,20210911,"M",015-0099-6647,0m4equkvq@gmail.com,38,management,single,tertiary,no,424,yes,no,unknown,5,may,104,1,-1,0
015-0099-7708,0m5bt7ce2xa13t0y88x8@frontier.com,1,서구(대전),성인,일반,19,관리자,참가증,20210911,"F",015-0099-7708,0m5bt7ce2xa13t0y88x8@frontier.com,47,blue-collar,married,unknown,no,306,yes,no,unknown,5,may,13,1,-1,0
015-0099-8738,0m5u1t6@comcast.gov,1,목포,성인,일반,23,관리자,2등급,20210911,"F",015-0099-8738,0m5u1t6@comcast.gov,40,blue-collar,single,unknown,no,24,yes,no,unknown,5,may,185,1,-1,0
015-0099-9985,0m6j@hotmail.net,2,순천,청소년,일반,17,인바디,3등급,20210911,"F",015-0099-9985,0m6j@hotmail.net,46,services,married,primary,no,179,yes,no,unknown,5,may,1778,1,-1,0
015-0100-0821,0m7bgg0vo86zr7z@verizon.com,1,고양,성인,일반,54,관리자,참가증,20210911,"F",015-0100-0821,0m7bgg0vo86zr7z@verizon.com,32,admin.,married,tertiary,no,0,yes,no,unknown,5,may,138,1,-1,0
015-0100-1815,0m82zoel8xb5e4hwh7@verizon.com,2,KSPO아산,성인,일반,20,관리자,참가증,20210911,"M",015-0100-1815,0m82zoel8xb5e4hwh7@verizon.com,53,technician,divorced,secondary,no,989,yes,no,unknown,5,may,812,1,-1,0
015-0100-3059,0m8s9xltwh@comcast.gov,2,충주,청소년,일반,14,관리자,2등급,20210911,"F",015-0100-3059,0m8s9xltwh@comcast.gov,57,blue-collar,married,primary,no,249,yes,no,unknown,5,may,164,1,-1,0
015-0100-4040,0m9q@hotmail.gov,1,스포원(금정),청소년,일반,18,인바디,3등급,20210911,"F",015-0100-4040,0m9q@hotmail.gov,33,services,married,secondary,no,790,yes,no,unknown,5,may,391,1,-1,0
015-0100-4929,0maj00v23u40n@frontier.org,4,구미,성인,일반,19,관리자,참가증,20210911,"F",015-0100-4929,0maj00v23u40n@frontier.org,49,blue-collar,married,unknown,no,154,yes,no,unknown,5,may,357,1,-1,0
015-0100-5898,0mbdmt7ixmtge0@hotmail.org,4,순천,청소년,일반,16,관리자,1등급,20210911,"M",015-0100-5898,0mbdmt7ixmtge0@hotmail.org,51,management,married,tertiary,no,6530,yes,no,unknown,5,may,91,1,-1,0
015-0100-7029,0mc1w@yahoo.gov,2,청주,성인,일반,35,관리자,3등급,20210911,"M",015-0100-7029,0mc1w@yahoo.gov,60,retired,married,tertiary,no,100,no,no,unknown,5,may,528,1,-1,0
015-0100-8062,0m@comcast.org,1,스포원(금정),성인,일반,32,인바디,참가증,20210911,"M",015-0100-8062,0m@comcast.org,59,management,divorced,tertiary,no,59,yes,no,unknown,5,may,273,1,-1,0
015-0100-9053,0mdogly0zke187s@hotmail.net,5,남구(부산),노인,일반,65,관리자,2등급,20210910,"F",015-0100-9053,0mdogly0zke187s@hotmail.net,55,technician,married,secondary,no,1205,yes,no,unknown,5,may,158,2,-1,0
015-0101-0203,0mef6h0eqvxbo@comcast.gov,2,사하,성인,일반,51,관리자,참가증,20210910,"M",015-0101-0203,0mef6h0eqvxbo@comcast.gov,35,blue-collar,single,secondary,no,12223,yes,yes,unknown,5,may,177,1,-1,0
015-0101-1089,0mfaoxzyj@frontier.gov,1,의정부,성인,일반,53,관리자,참가증,20210910,"F",015-0101-1089,0mfaoxzyj@frontier.gov,57,blue-collar,married,secondary,no,5935,yes,yes,unknown,5,may,258,1,-1,0
015-0101-1727,0mfvh5cojixx23j@charter.org,1,삼척,성인,일반,29,관리자,2등급,20210910,"F",015-0101-1727,0mfvh5cojixx23j@charter.org,31,services,married,secondary,no,25,yes,yes,unknown,5,may,172,1,-1,0
015-0101-2486,0mgkixr8z8@outlook.com,3,영동,청소년,출장,16,관리자,3등급,20210909,"M",015-0101-2486,0mgkixr8z8@outlook.com,54,management,married,secondary,no,282,yes,yes,unknown,5,may,154,1,-1,0
015-0101-3810,0mh5x713@gmail.org,1,영동,청소년,출장,16,관리자,참가증,20210909,"F",015-0101-3810,0mh5x713@gmail.org,55,blue-collar,married,primary,no,23,yes,no,unknown,5,may,291,1,-1,0
015-0101-4947,0mhr5iovjtg@charter.org,2,부천,청소년,일반,17,관리자,3등급,20210910,"M",015-0101-4947,0mhr5iovjtg@charter.org,43,technician,married,secondary,no,1937,yes,no,unknown,5,may,181,1,-1,0
015-0101-5587,0mihfz@gmail.gov,3,영동,청소년,출장,16,관리자,2등급,20210909,"F",015-0101-5587,0mihfz@gmail.gov,53,technician,married,secondary,no,384,yes,no,unknown,5,may,176,1,-1,0
015-0101-6602,0mjg0a58bczpizwm@yahoo.net,1,서구(광주),청소년,출장,15,관리자,참가증,20210910,"M",015-0101-6602,0mjg0a58bczpizwm@yahoo.net,44,blue-collar,married,secondary,no,582,no,yes,unknown,5,may,211,1,-1,0
015-0101-7434,0mk16byp3d8lqye506@verizon.org,1,영동,청소년,출장,17,관리자,참가증,20210909,"F",015-0101-7434,0mk16byp3d8lqye506@verizon.org,55,services,divorced,secondary,no,91,no,no,unknown,5,may,349,1,-1,0
015-0101-8154,0ml18nxhnzc@frontier.gov,3,영동,청소년,출장,17,관리자,참가증,20210909,"F",015-0101-8154,0ml18nxhnzc@frontier.gov,49,services,divorced,secondary,no,0,yes,yes,unknown,5,may,272,1,-1,0
015-0101-9904,0mlqguo68ukyv@verizon.gov,2,서구(광주),청소년,출장,15,관리자,참가증,20210910,"M",015-0101-9904,0mlqguo68ukyv@verizon.gov,55,services,divorced,secondary,yes,1,yes,no,unknown,5,may,208,1,-1,0
015-0102-0716,0mme929fqse07i0@charter.gov,2,서구(광주),청소년,출장,16,관리자,3등급,20210910,"M",015-0102-0716,0mme929fqse07i0@charter.gov,45,admin.,single,secondary,no,206,yes,no,unknown,5,may,193,1,-1,0
015-0102-1447,0mn41vq@outlook.org,2,서구(광주),청소년,출장,17,관리자,참가증,20210910,"M",015-0102-1447,0mn41vq@outlook.org,47,services,divorced,secondary,no,164,no,no,unknown,5,may,212,1,-1,0
015-0102-2327,0mnunxeppg41i3mai3@frontier.com,1,사천,성인,일반,39,관리자,참가증,20210910,"F",015-0102-2327,0mnunxeppg41i3mai3@frontier.com,42,technician,single,secondary,no,690,yes,no,unknown,5,may,20,1,-1,0
015-0102-3256,0moo7noauwsazrt@charter.gov,1,의정부,성인,일반,60,관리자,3등급,20210910,"M",015-0102-3256,0moo7noauwsazrt@charter.gov,59,admin.,married,secondary,no,2343,yes,no,unknown,5,may,1042,1,-1,0
015-0102-4021,0mpmu0khi7n2aymif@comcast.net,2,서구(광주),청소년,출장,16,관리자,참가증,20210910,"M",015-0102-4021,0mpmu0khi7n2aymif@comcast.net,46,self-employed,married,tertiary,no,137,yes,yes,unknown,5,may,246,1,-1,0
015-0102-4944,0mq@charter.net,2,서초,청소년,출장,14,관리자,참가증,20210910,"M",015-0102-4944,0mq@charter.net,51,blue-collar,married,primary,no,173,yes,no,unknown,5,may,529,2,-1,0
015-0102-6259,0mr12j@gmail.com,2,서초,청소년,출장,15,관리자,참가증,20210910,"M",015-0102-6259,0mr12j@gmail.com,56,admin.,married,secondary,no,45,no,no,unknown,5,may,1467,1,-1,0
015-0102-7477,0mrr9802eclj4ymzls7d@gmail.net,2,서초,청소년,출장,15,관리자,참가증,20210910,"M",015-0102-7477,0mrr9802eclj4ymzls7d@gmail.net,41,technician,married,secondary,no,1270,yes,no,unknown,5,may,1389,1,-1,0
015-0102-9135,0msiozrnpgvh4soiok1@frontier.net,2,서초,청소년,출장,15,관리자,참가증,20210910,"M",015-0102-9135,0msiozrnpgvh4soiok1@frontier.net,46,management,divorced,secondary,no,16,yes,yes,unknown,5,may,188,2,-1,0
015-0102-9790,0mtftbiyti6lqd@hotmail.org,1,동구(광주),성인,일반,24,관리자,참가증,20210910,"M",015-0102-9790,0mtftbiyti6lqd@hotmail.org,57,retired,married,secondary,no,486,yes,no,unknown,5,may,180,2,-1,0
015-0103-0856,0mu840r4kmegej@comcast.gov,1,서구(대전),성인,일반,39,관리자,1등급,20210910,"M",015-0103-0856,0mu840r4kmegej@comcast.gov,42,management,single,secondary,no,50,no,no,unknown,5,may,48,1,-1,0
015-0103-2057,0mv31awkyjvraj@outlook.com,1,창원마산회원,청소년,출장,18,관리자,3등급,20210910,"M",015-0103-2057,0mv31awkyjvraj@outlook.com,30,technician,married,secondary,no,152,yes,yes,unknown,5,may,213,2,-1,0
015-0103-3515,0mvqzqj4kp9rghoe64@gmail.org,1,창원,성인,일반,32,관리자,참가증,20210910,"M",015-0103-3515,0mvqzqj4kp9rghoe64@gmail.org,60,admin.,married,secondary,no,290,yes,no,unknown,5,may,583,1,-1,0
015-0103-4708,0mwmbwsye2c@verizon.org,1,창원마산회원,성인,출장,19,관리자,참가증,20210910,"M",015-0103-4708,0mwmbwsye2c@verizon.org,60,blue-collar,married,unknown,no,54,yes,no,unknown,5,may,221,1,-1,0
015-0103-5673,0mxcb708w6oh4gdijux7@charter.net,1,김천,성인,일반,24,관리자,1등급,20210910,"M",015-0103-5673,0mxcb708w6oh4gdijux7@charter.net,57,entrepreneur,divorced,secondary,no,-37,no,no,unknown,5,may,173,1,-1,0
015-0103-6494,0my12nd@frontier.org,2,서초,청소년,출장,15,관리자,3등급,20210910,"M",015-0103-6494,0my12nd@frontier.org,36,management,married,tertiary,no,101,yes,yes,unknown,5,may,426,1,-1,0
015-0103-7842,0mymd3idnoydz38fc@hotmail.gov,2,서초,청소년,출장,15,관리자,1등급,20210910,"M",015-0103-7842,0mymd3idnoydz38fc@hotmail.gov,55,blue-collar,married,secondary,no,383,no,no,unknown,5,may,287,1,-1,0
015-0103-8639,0mzhlkyu0s@verizon.gov,1,KSPO아산(출장),청소년,출장,17,관리자,3등급,20210910,"F",015-0103-8639,0mzhlkyu0s@verizon.gov,60,retired,married,tertiary,no,81,yes,no,unknown,5,may,101,1,-1,0
015-0103-9803,0n0gyye0@charter.org,3,구미,성인,출장,19,관리자,2등급,20210910,"M",015-0103-9803,0n0gyye0@charter.org,39,technician,married,secondary,no,0,yes,no,unknown,5,may,203,1,-1,0
015-0104-1107,0n1co@yahoo.org,1,KSPO아산(출장),청소년,출장,15,관리자,참가증,20210910,"M",015-0104-1107,0n1co@yahoo.org,46,management,married,tertiary,no,229,yes,no,unknown,5,may,197,1,-1,0
015-0104-2114,0n278a1y6vd0kko@charter.gov,1,구미,성인,출장,19,관리자,2등급,20210910,"M",015-0104-2114,0n278a1y6vd0kko@charter.gov,44,blue-collar,married,secondary,no,-674,yes,no,unknown,5,may,257,1,-1,0
015-0104-2879,0n3a3@frontier.net,1,강릉,성인,일반,19,관리자,2등급,20210910,"F",015-0104-2879,0n3a3@frontier.net,53,blue-collar,married,primary,no,90,no,no,unknown,5,may,124,1,-1,0
015-0104-3993,0n42rfh@frontier.org,2,사상,성인,일반,41,관리자,3등급,20210910,"M",015-0104-3993,0n42rfh@frontier.org,52,blue-collar,married,primary,no,128,yes,no,unknown,5,may,229,1,-1,0
015-0104-5209,0n4vibc1y8pb5m0sd@hotmail.gov,1,남구(부산),성인,일반,33,관리자,참가증,20210910,"M",015-0104-5209,0n4vibc1y8pb5m0sd@hotmail.gov,59,blue-collar,married,primary,no,179,yes,no,unknown,5,may,55,3,-1,0
015-0104-6129,0n5k2xi6rufenj@charter.com,1,세종,노인,출장,78,관리자,참가증,20210910,"F",015-0104-6129,0n5k2xi6rufenj@charter.com,27,technician,single,tertiary,no,0,yes,no,unknown,5,may,400,1,-1,0
015-0104-7011,0n6a55vdchdekb@hotmail.gov,1,세종,노인,출장,82,관리자,참가증,20210910,"F",015-0104-7011,0n6a55vdchdekb@hotmail.gov,44,blue-collar,married,secondary,no,54,yes,no,unknown,5,may,197,1,-1,0
015-0104-8553,0n75ch@charter.com,2,세종,노인,출장,84,관리자,참가증,20210910,"F",015-0104-8553,0n75ch@charter.com,47,technician,married,tertiary,no,151,yes,no,unknown,5,may,190,1,-1,0
015-0104-9495,0n81wlglkpx4j1@hotmail.com,4,마포,성인,일반,21,관리자,3등급,20210910,"M",015-0104-9495,0n81wlglkpx4j1@hotmail.com,34,admin.,married,secondary,no,61,no,yes,unknown,5,may,21,1,-1,0
015-0105-0596,0n8uqpl@verizon.gov,1,남구(부산),성인,일반,61,관리자,참가증,20210910,"F",015-0105-0596,0n8uqpl@verizon.gov,59,retired,single,secondary,no,30,yes,no,unknown,5,may,514,1,-1,0
015-0105-1546,0n9mj06fn@charter.com,2,마포,성인,일반,32,관리자,참가증,20210910,"M",015-0105-1546,0n9mj06fn@charter.com,45,management,married,tertiary,no,523,yes,no,unknown,5,may,849,2,-1,0
015-0105-2463,0nallj50ysf2qt8spkne@frontier.org,2,서구(광주),청소년,출장,16,관리자,참가증,20210910,"M",015-0105-2463,0nallj50ysf2qt8spkne@frontier.org,29,services,divorced,secondary,no,31,yes,no,unknown,5,may,194,1,-1,0
015-0105-3192,0nb@gmail.net,2,KSPO송파,성인,일반,19,없음,1등급,20210915,"M",015-0105-3192,0nb@gmail.net,46,technician,divorced,secondary,no,79,no,no,unknown,5,may,144,1,-1,0
015-0105-4040,0nc9h6lk0mnkfcdn@charter.com,2,강북,성인,일반,30,없음,2등급,20210928,"M",015-0105-4040,0nc9h6lk0mnkfcdn@charter.com,56,self-employed,married,primary,no,-34,yes,yes,unknown,5,may,212,2,-1,0
015-0105-5145,0ncrlf@gmail.com,1,KSPO대구,성인,일반,19,없음,참가증,20210928,"M",015-0105-5145,0ncrlf@gmail.com,36,blue-collar,married,primary,no,448,yes,no,unknown,5,may,286,1,-1,0
015-0105-6451,0ndfzlo3da24mot@charter.org,5,동구(부산),성인,일반,46,없음,2등급,20210928,"F",015-0105-6451,0ndfzlo3da24mot@charter.org,59,retired,divorced,primary,no,81,yes,no,unknown,5,may,107,1,-1,0
